dtm_name,image_id1,image_id2,url
DTEEC_017931_1745_017786_1745_A01,ESP_017931_1745,ESP_017786_1745,https://www.uahirise.org/PDS/DTM/ESP/ORB_017900_017999/ESP_017931_1745_ESP_017786_1745/
DTEED_018046_2375_017822_2375_A01,ESP_018046_2375,ESP_017822_2375,https://www.uahirise.org/PDS/DTM/ESP/ORB_018000_018099/ESP_018046_2375_ESP_017822_2375/
DTEEC_018048_2360_009332_2360_A01,PSP_018048_2360,ESP_009332_2360,https://www.uahirise.org/PDS/DTM/ESP/ORB_018000_018099/ESP_018048_2360_PSP_009332_2360/
DTEEC_018062_1810_018484_1810_U01,ESP_018062_1810,ESP_018484_1810,https://www.uahirise.org/PDS/DTM/ESP/ORB_018000_018099/ESP_018062_1810_ESP_018484_1810/
DTEEC_018168_2160_019012_2160_A01,ESP_018168_2160,ESP_019012_2160,https://www.uahirise.org/PDS/DTM/ESP/ORB_018100_018199/ESP_018168_2160_ESP_019012_2160/
DTEED_018276_2155_017063_2155_A01,ESP_018276_2155,ESP_017063_2155,https://www.uahirise.org/PDS/DTM/ESP/ORB_018200_018299/ESP_018276_2155_ESP_017063_2155/
DTEEC_018339_1820_018194_1820_A01,ESP_018339_1820,ESP_018194_1820,https://www.uahirise.org/PDS/DTM/ESP/ORB_018300_018399/ESP_018339_1820_ESP_018194_1820/
DTEEC_018347_1660_026417_1660_A01,ESP_018347_1660,ESP_026417_1660,https://www.uahirise.org/PDS/DTM/ESP/ORB_018300_018399/ESP_018347_1660_ESP_026417_1660/
DTEPD_018380_2680_018605_2680_A01,ESP_018380_2680,ESP_018605_2680,https://www.uahirise.org/PDS/DTM/ESP/ORB_018300_018399/ESP_018380_2680_ESP_018605_2680/
DTEED_018420_2375_017563_2375_A01,ESP_018420_2375,ESP_017563_2375,https://www.uahirise.org/PDS/DTM/ESP/ORB_018400_018499/ESP_018420_2375_ESP_017563_2375/
DTEEC_018518_2295_018795_2295_A01,ESP_018518_2295,ESP_018795_2295,https://www.uahirise.org/PDS/DTM/ESP/ORB_018500_018599/ESP_018518_2295_ESP_018795_2295/
DTEEC_018522_2270_019010_2270_A01,ESP_018522_2270,ESP_019010_2270,https://www.uahirise.org/PDS/DTM/ESP/ORB_018500_018599/ESP_018522_2270_ESP_019010_2270/
DTEPC_018525_2565_018011_2565_U01,ESP_018525_2565,ESP_018011_2565,https://www.uahirise.org/PDS/DTM/ESP/ORB_018500_018599/ESP_018525_2565_ESP_018011_2565/
